Sample time,Sample number,Sample type,strontium_total_ugL-1,tellurium_total_ugL-1,terbium_total_ugL-1,thallium_total_ugL-1,tin_total_ugL-1,titanium_total_ugL-1,tungsten_total_ugL-1,uranium_total_ugL-1,vanadium_total_ugL-1,ytterbium_total_ugL-1
2013-06-27 18:20,13PY005784,1,76.5,,,0.015,0.017,,0.008,0.236,4.07,
2013-07-11 18:35,13PY005819,1,76.1,,,0.015,0.01,,0.007,0.245,3.18,
2013-07-25 18:00,13PY005856,1,71,,,0.009,0.012,,0.011,0.199,1.47,
2013-08-28 19:33,13PY005947,1,80,,,0.008,0.008,,0.011,0.209,1.14,
2013-09-04 19:10,13PY005962,1,77.6,,,0.009,0.005,,0.011,0.189,1.19,
2013-09-17 19:25,13PY005994,1,71.7,,,0.007,0.005,,0.01,0.173,0.797,
2013-10-02 20:45,13PY006026,1,52,,,0.005,0.01,,0.01,0.137,0.8,
2014-05-07 19:30,14PY005449,1,74.1,,,0.032,0.008,,0.008,0.345,7.28,
2014-05-28 19:10,15PY005059,1,92.1,,,0.039,0.007,,0.005,0.383,10.6,
2014-06-12 20:35,15PY005078,1,77.8,,,0.02,0.01,,0.004,0.309,4.4,
2014-06-26 19:00,14PY005599,1,78.8,,,0.014,0.007,,0.007,0.238,3.48,
2014-07-07 19:15,14PY005602,1,75.3,,,0.013,0.007,,0.006,0.227,2.93,
2014-08-07 20:00,14PY005616,1,75.9,,,0.012,0.009,,0.006,0.209,2.24,
2014-08-21 19:33,14PY005631,1,71.3,,,0.011,0.008,,0.01,0.205,2.14,
2014-09-04 18:57,14PY005759,1,80.4,,,0.01,0.009,,0.009,0.233,1.48,
2014-09-18 19:22,14PY005799,1,91.3,,,0.006,0.007,,0.01,0.239,0.972,
2014-10-02 20:00,14PY005846,1,84.5,,,0.005,0.005,,0.01,0.225,0.739,
2014-10-29 19:10,14PY005926,1,60.8,,,0.007,0.006,,0.009,0.17,1.1,
2014-11-20 19:45,14PY006002,1,89.8,,,0.009,0.011,,0.01,0.227,0.744,
2014-12-15 19:50,15PY005151,1,57.6,,,0.004,0.012,,0.008,0.156,0.895,
2015-01-21 22:00,15PY005242,1,115,,,0.006,0.015,,0.017,0.22,1.21,
2015-02-13 19:05,15PY005461,1,65,,,0.006,0.007,,0.015,0.163,0.807,
2015-03-26 10:04,15PY005597,1,74.5,,,0.022,0.009,,0.005,0.286,4.94,
2015-04-16 20:50,15PY005838,1,78.7,,,0.014,0.014,,0.007,0.284,3.11,
2015-04-30 20:45,15PY005887,1,78.1,,,0.014,0.008,,0.009,0.256,3.11,
2015-05-12 20:00,15PY005985,1,75.3,,,0.009,0.012,,0.007,0.214,1.8,
2015-05-28 19:48,15PY006049,1,83.2,,,0.024,0.01,,0.006,0.286,4.94,
2015-06-10 20:14,16PY005083,1,75.2,,,0.012,0.01,,0.006,0.214,2.64,
2015-06-25 19:55,16PY005123,1,85.1,,,0.016,0.012,,0.001,0.236,3.41,
2015-07-09 19:40,16PY005154,1,78.7,,,0.012,0.007,,0.005,0.214,2.13,
2015-07-23 20:00,16PY005192,1,76.6,,,0.008,0.012,,0.008,0.203,1.18,
2015-08-06 21:00,16PY005223,1,84.5,,,0.007,0.007,,0.009,0.219,0.848,
2015-08-20 18:51,16PY005256,1,80.6,,,0.005,0.005,,0.009,0.206,0.678,
2015-09-03 18:05,16PY005282,1,50.6,,,0.005,0.018,,0.01,0.135,0.67,
2015-09-17 19:15,16PY005316,1,108,,,0.003,0.007,,0.01,0.23,0.75,
2015-10-02 19:00,16PY005351,1,74.1,,,0.006,0.005,,0.011,0.227,0.86,
2015-10-15 19:20,16PY005433,1,91.1,,,0.009,0.005,,0.009,0.221,0.674,
2015-11-10 20:00,16PY005503,1,59.4,,,0.008,0.012,,0.009,0.161,1.31,
2015-11-26 21:45,16PY005546,1,83,,,0.006,0.007,,0.009,0.227,0.917,
2015-12-09 20:06,16PY005620,1,55,,,0.005,0.013,,0.012,0.142,0.932,
2015-12-22 20:40,16PY005613,1,81.7,,,0.004,0.011,,0.013,0.198,0.601,
2016-02-02 20:35,16PY005703,1,65.4,,,0.004,0.016,,0.013,0.148,0.896,
2016-03-14 19:09,16PY005874,1,66.4,,,0.007,0.008,,0.01,0.208,1.7,
2016-04-14 18:45,16PY005912,1,64.6,,,0.012,0.008,31.7,0.008,0.229,2.51,
2016-04-28 18:45,16PY005942,1,79.3,,,0.019,0.008,45.4,0.008,0.302,3.89,
2016-05-11 19:00,16PY005966,1,69.7,,,0.009,0.007,25.9,0.006,0.218,1.93,
2016-05-31 18:30,16PY006020,1,74.6,,,0.01,0.015,37.6,0.012,0.243,3.22,
2016-06-22 19:00,16PY006230,1,71.6,,,0.012,0.01,36.3,0.008,0.227,2.42,
2016-07-06 18:55,16PY006062,1,73.9,,,0.008,0.007,18,0.01,0.204,1.29,
2016-07-20 19:35,16PY006092,1,103,,,0.046,0.012,108,0.007,0.343,9.01,
2016-08-03 18:45,16PY006132,1,76.3,,,0.008,0.007,21.9,0.011,0.2,1.52,
2016-08-17 19:12,16PY006177,1,77.6,,,0.011,0.007,33.2,0.035,0.23,2.09,
