Sample time,Sample number,Sample type,tellurium_total_ugL-1,terbium_total_ugL-1,thallium_total_ugL-1,tin_total_ugL-1,titanium_total_ugL-1,tungsten_total_ugL-1,uranium_total_ugL-1,vanadium_total_ugL-1,ytterbium_total_ugL-1,yttrium_total_ugL-1
2000-01-04 22:10,00PY000071,1,,,,,,,,0.5,,
2000-01-07 18:10,00PY000087,1,,,,,,,,0.6,,
2000-01-18 22:00,00PY000190,1,,,,,,,,0.5,,
2000-02-01 22:00,00PY000395,1,,,,,,,,0.5,,
2000-02-15 22:00,00PY000603,1,,,,,,,,0.5,,
2000-02-29 22:00,00PY000898,1,,,,,,,,0.6,,
2000-03-14 22:00,00PY001262,1,,,,,,,,1.1,,
2000-03-28 22:00,00PY001590,1,,,,,,,,4.2,,
2000-04-11 22:00,00PY001851,1,,,,,,,,8.5,,
2000-04-25 22:00,00PY002119,1,,,,,,,,23.1,,
2000-05-09 22:00,00PY002395,1,,,,,,,,5.8,,
2000-05-23 22:00,00PY002739,1,,,,,,,,9.2,,
2000-06-06 20:00,00PY003099,1,,,,,,,,6.3,,
2000-06-20 22:00,00PY003493,1,,,,,,,,7.7,,
2000-07-04 22:00,00PY003785,1,,,,,,,,7.5,,
2000-08-16 21:30,00PY004844,1,,,,,,,,2.5,,
2000-08-29 22:00,00PY005136,1,,,,,,,,3.5,,
2000-09-12 22:00,00PY005490,1,,,,,,,,6.7,,
2000-09-26 22:00,00PY005900,1,,,,,,,,2.4,,
2000-10-10 22:00,00PY006267,1,,,,,,,,1.4,,
2000-10-24 22:00,00PY006714,1,,,,,,,,1.8,,
2000-11-07 22:00,00PY007075,1,,,,,,,,7.1,,
2000-11-21 22:00,00PY007412,1,,,,,,,,0.9,,
2000-12-05 22:00,00PY007742,1,,,,,,,,0.7,,
2000-12-19 22:00,00PY008100,1,,,,,,,,0.8,,
2001-01-02 22:00,01PY000008,1,,,,,,,,0.8,,
2001-01-16 22:00,01PY000192,1,,,,,,,,0.5,,
2001-01-30 22:00,01PY000430,1,,,,,,,,0.4,,
2001-02-06 22:00,01PY000538,1,,,,,,,,0.5,,
2001-02-13 22:00,01PY000645,1,,,,,,,,0.4,,
2001-02-20 22:00,01PY000777,1,,,,,,,,0.5,,
2001-02-27 22:00,01PY000967,1,,,,,,,,0.4,,
2001-03-13 22:00,01PY001234,1,,,,,,,,1.1,,
2001-03-27 22:00,01PY001592,1,,,,,,,,3.4,,
2001-04-10 22:00,01PY001906,1,,,,,,,,6.9,,
2001-04-24 22:00,01PY002145,1,,,,,,,,9.2,,
2001-05-08 22:00,01PY002500,1,,,,,,,,5.4,,
2001-05-22 22:00,01PY002838,1,,,,,,,,4,,
2001-06-05 22:00,01PY003186,1,,,,,,,,10.8,,
2001-06-19 22:00,01PY003617,1,,,,,,,,5.4,,
2001-07-10 22:00,01PY004034,1,,,,,,,,4.2,,
2001-07-17 22:00,01PY004235,1,,,,,,,,4.1,,
2001-07-31 22:00,01PY004598,1,,,,,,,,7.1,,
2001-08-14 22:00,01PY004881,1,,,,,,,,4.8,,
2001-08-28 22:00,01PY005200,1,,,,,,,,3.2,,
2001-09-04 22:00,01PY005355,1,,,,,,,,1.7,,
2001-09-25 22:00,01PY005890,1,,,,,,,,1.2,,
2001-10-09 22:00,01PY006307,1,,,,,,,,0.9,,
2001-10-23 22:00,01PY006750,1,,,,,,,,1.5,,
2001-11-06 22:00,01PY007140,1,,,,,,,,1.2,,
2001-11-20 22:00,01PY007559,1,,,,,,,,2.2,,
2001-12-04 22:00,01PY007832,1,,,,,,,,0.9,,
2001-12-06 19:00,01PY007882,1,,,,,,,,0.8,,
2001-12-18 22:00,01PY008069,1,,,,,,,,1.1,,
2002-01-02 22:00,02PY000004,1,,,,,,,,0.7,,
2002-01-16 22:00,02PY000112,1,,,,,,,,0.9,,
2002-01-29 22:00,02PY000220,1,,,,,,,,0.5,,
2002-02-12 22:00,02PY000313,1,,,,,,,,0.6,,
2002-02-26 22:00,02PY000392,1,,,,,,,,0.7,,
2002-03-12 22:00,02PY000489,1,,,,,,,,0.5,,
2002-03-26 22:00,02PY000570,1,,,,,,,,0.8,,
2002-04-09 22:00,03PY000129,1,,,,,,,,1.1,,
2002-04-23 22:00,03PY000192,1,,,,,,,,18.2,,
2002-05-21 22:00,03PY000220,1,,,,,,,,11.3,,
2002-06-04 22:00,03PY000240,1,,,,,,,,10,,
2002-06-18 22:00,03PY000266,1,,,,,,,,12.2,,
2002-07-02 22:00,03PY000288,1,,,,,,,,9.6,,
2002-07-16 22:00,03PY000412,1,,,,,,,,7,,
2002-07-30 22:00,03PY000339,1,,,,,,,,3.1,,
2002-08-13 22:00,03PY000361,1,,,,,,,,3.3,,
2002-08-27 22:00,03PY000477,1,,,,,,,,2.5,,
2002-09-10 22:00,03PY000533,1,,,,,,,,2.2,,
2002-09-24 22:00,03PY000709,1,,,,,,,,11.5,,
2002-10-08 22:00,04PY002050,1,,,,,,,,4.2,,
2002-10-22 22:00,03PY000596,1,,,,,,,,1.7,,
2002-11-05 22:00,03PY000655,1,,,,,,,,1.1,,
2002-11-19 22:00,03PY000697,1,,,,,,,,2.1,,
2002-12-04 0:00,03PY000608,1,,,,,,,,1,,
2002-12-17 22:00,03PY000751,1,,,,,,,,1.3,,
2003-01-02 22:00,03PY001406,1,,,,,,,,0.6,,
2003-01-14 22:00,03PY000797,1,,,,,,,,0.5,,
2003-01-28 22:00,04PY002039,1,,,,,,,,0.7,,
2003-02-11 22:00,04PY002049,1,,,,,,,,0.4,,
2003-02-25 22:00,03PY000454,1,,,,,,,,-999999,,
2003-03-11 22:00,03PY000637,1,,,0.003,,,,0.314,0.629,,
2003-03-25 22:00,03PY000821,1,,,0.014,,,,0.39,4.22,,
