Sample time,Sample number,Sample type,niobium_total_ugL-1,palladium_total_ugL-1,platinum_total_ugL-1,praseodymium_total_ugL-1,rubidium_total_ugL-1,ruthenium_total_ugL-1,samarium_total_ugL-1,scandium_total_ugL-1,selenium_total_ugL-1,silver_total_ugL-1
2013-09-04 19:10,13PY005962,1,0.023,,0.001,,1.38,,,,0.07,0.003
2013-09-17 19:25,13PY005994,1,0.014,,0.001,,1.24,,,,0.06,0.002
2013-10-02 20:45,13PY006026,1,0.012,,0.001,,1.04,,,,0.06,0.002
2014-05-07 19:30,14PY005449,1,0.07,,0.002,,2.82,,,,0.13,0.032
2014-05-28 19:10,15PY005059,1,0.119,,0.001,,3.58,,,,0.12,0.026
2014-06-12 20:35,15PY005078,1,0.055,,0.001,,2.07,,,,0.09,0.008
2014-06-26 19:00,14PY005599,1,0.053,,0.001,,1.68,,,,0.07,0.011
2014-07-07 19:15,14PY005602,1,0.064,,0.001,,1.7,,,,0.07,0.009
2014-08-07 20:00,14PY005616,1,0.041,,0.001,,1.61,,,,0.07,0.006
2014-08-21 19:33,14PY005631,1,0.035,,0.001,,1.59,,,,0.07,0.006
2014-09-04 18:57,14PY005759,1,0.022,,0.001,,1.55,,,,0.07,0.003
2014-09-18 19:22,14PY005799,1,0.01,,0.001,,1.28,,,,0.08,0.002
2014-10-02 20:00,14PY005846,1,0.004,,0.001,,1.13,,,,0.06,0.002
2014-10-29 19:10,14PY005926,1,0.018,,0.001,,1.05,,,,0.07,0.003
2014-11-20 19:45,14PY006002,1,0.013,,0.001,,1.38,,,,0.09,0.004
2014-12-15 19:50,15PY005151,1,0.009,,0.001,,0.934,,,,0.08,0.003
2015-01-21 22:00,15PY005242,1,0.011,,0.001,,1.74,,,,0.09,0.004
2015-02-13 19:05,15PY005461,1,0.005,,0.001,,0.921,,,,0.08,0.003
2015-03-26 10:04,15PY005597,1,0.041,,0.001,,2.23,,,,0.1,0.023
2015-04-16 20:50,15PY005838,1,0.045,,0.001,,1.44,,,,0.09,0.012
2015-04-30 20:45,15PY005887,1,0.035,,0.001,,1.63,,,,0.08,0.012
2015-05-12 20:00,15PY005985,1,0.028,,0.001,,1.15,,,,0.08,0.006
2015-05-28 19:48,15PY006049,1,0.048,,0.001,,2.39,,,,0.09,0.02
2015-06-10 20:14,16PY005083,1,0.034,,0.001,,1.64,,,,0.09,0.009
2015-06-25 19:55,16PY005123,1,0.063,,0.001,,1.87,,,,0.08,0.011
2015-07-09 19:40,16PY005154,1,0.043,,0.001,,1.78,,,,0.07,0.007
2015-07-23 20:00,16PY005192,1,0.017,,0.001,,1.33,,,,0.07,0.004
2015-08-06 21:00,16PY005223,1,0.01,,0.001,,1.29,,,,0.07,0.003
2015-08-20 18:51,16PY005256,1,0.009,,0.001,,1.15,,,,0.08,0.002
2015-09-03 18:05,16PY005282,1,0.005,,0.001,,0.954,,,,0.06,0.002
2015-09-17 19:15,16PY005316,1,0.01,,0.001,,1.49,,,,0.08,0.003
