Sample time,Sample number,Sample type,DOC_mgL-1,specificconductance_uSeiCm-1
2015-04-21 16:28,15PY005852,1,5.62,129
2015-04-27 18:25,15PY005864,1,5.3,116
2015-05-04 18:10,15PY005890,1,5.77,119
2015-05-19 16:35,15PY006009,1,4.55,106
2015-05-25 18:11,15PY006034,1,3.11,104
2015-06-15 18:50,16PY005093,1,2.33,104
2015-07-06 18:35,16PY005140,1,2.32,104
2015-07-22 16:20,16PY005191,1,2.05,106
2015-08-05 16:30,16PY005219,1,2.1,123
2015-08-17 18:40,16PY005245,1,2.08,120
2015-09-02 16:45,16PY005279,1,2.43,108
2015-09-16 16:25,16PY005309,1,2.19,138
2015-09-30 16:15,16PY005347,1,2.14,131
2015-10-14 16:25,16PY005382,1,1.92,136
2015-10-28 16:35,16PY005473,1,2.07,144
2015-11-23 17:27,16PY005527,1,2.71,140
2015-12-03 16:25,16PY005557,1,2.14,149
2015-12-21 17:50,16PY005609,1,2.85,145
2016-01-18 18:15,16PY005662,1,2.78,164
2016-02-10 16:50,16PY005716,1,2.89,143
2016-02-24 17:05,16PY005760,1,3.84,146
2016-03-09 16:50,16PY005796,1,3.99,146
2016-03-23 16:45,16PY005845,1,4.42,141
2016-04-04 18:10,16PY005880,1,5.34,126
2016-04-20 15:30,16PY005924,1,5.98,113
2016-05-11 16:25,16PY005967,1,3.02,106
2016-05-25 16:45,16PY006002,1,,110
2016-06-08 16:25,16PY006036,1,2.37,100
2016-06-20 19:18,16PY006214,1,3.31,108
2016-06-29 16:25,16PY006263,1,2.52,108
2016-07-13 16:25,16PY006076,1,,111
2016-07-27 16:45,16PY006113,1,,118
2016-08-10 16:30,16PY006152,1,,123
2016-08-24 16:20,16PY006190,1,2.64,116
2016-09-21 16:30,17PY005065,1,2.93,141
2016-10-12 16:40,17PY005109,1,2.97,137
2016-10-26 16:37,17PY005146,1,5.72,116
2016-11-07 17:25,17PY005172,1,5.1,109
2016-11-23 15:45,17PY005224,1,3.9,120
2016-12-07 20:05,17PY005249,1,3.75,126
2017-01-25 15:52,17PY005421,1,3.73,145
2017-03-15 16:18,17PY005613,1,3.53,130
2017-03-22 16:15,17PY005627,1,3.22,156
2017-03-27 16:00,17PY005638,1,2.8,161
2017-04-19 16:20,17PY005684,1,6.23,127
2017-05-10 16:44,17PY005765,1,6.09,126
2017-05-31 16:00,17PY005919,1,4.47,99.8
2017-06-21 15:08,17PY006001,1,2.74,109
2017-07-12 15:15,17PY006146,1,,106
2017-10-12 15:36,17PY006485,1,2.5,149
2017-10-25 15:15,17PY006565,1,4.87,126
2017-11-08 16:34,17PY006593,1,3.15,134
2017-12-06 16:20,18PY005029,1,3.31,127
2017-12-18 21:09,18PY005079,1,3.52,136
2018-01-31 16:10,18PY005949,1,2.71,142
2018-03-22 16:28,18PY005543,1,3.23,165
2018-08-09 16:15,18PY006058,1,,120
2018-08-14 16:15,18PY006069,1,,117
2018-10-11 18:15,18PY006320,1,2.51,142
2018-10-24 15:20,18PY006339,1,2.81,145
2018-11-07 16:31,18PY006368,1,2.77,144
2018-11-21 16:25,18PY006429,1,3.56,133
2018-12-05 16:58,19PY000008,1,4.47,140
2018-12-19 16:20,19PY000036,1,3.48,132
2019-01-24 16:25,20PY000149,1,2.82,156
2019-04-08 19:48,19PY000383,1,8.46,139
2019-05-14 19:20,19PY000557,1,,112
2019-06-06 21:15,19PY000628,1,,101
2019-07-04 19:50,19PY000759,1,2.38,113
2019-08-14 18:40,19PY000875,1,,121
2019-09-12 20:00,19PY000987,1,,134
2019-10-08 19:00,19PY001049,1,,135
2019-11-20 18:00,19PY001341,1,6.7,128
2019-12-17 19:15,20PY000053,1,3.86,145
2020-01-21 19:45,20PY000143,1,3.76,164
2020-02-11 18:15,20PY000181,1,3.21,153
2020-03-12 18:15,20PY000293,1,3.77,175
2021-10-13 19:20,21PY000867,1,2.48,132
2021-12-07 20:40,21PY001029,1,3.26,130
2022-01-28 20:00,22PY000079,1,2.7,149
2022-02-15 21:35,22PY000116,1,3.36,150
2022-03-15 20:35,22PY000180,1,3.21,162
2022-04-20 19:15,22PY000341,1,6.42,155
2022-05-18 18:45,22PY000439,1,7.14,124
